,List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),Qty_Remaining,Soldout/not,Sold_day,Sold,SaleRate,Blowout
497,2779,IM-KP322,7.12E+11,KP322,Kasda,Wireless AP/Bridge/Repeater,Component,Networking,Wireless Networking,Kasda KP322 750Mbps Dual-band OpenWRT Wireless Access Point w/ 3x External 5dBi Antennas,47.1,35.325,26,2.5,9.275,Recurring,01-Jan-19,Y,1.43,0,Sold,17,26,1.529411765,17
498,2488,CA-FOMNBKW,8.17E+11,FD-CA-FOCUS-MINI-BK-W,Fractal Design,MicroATX Case,Component,Case,Computer Case,Fractal Focus G Mini No Power Supply MicroATX Case w/ Window (Black),61.5,46.125,32,3.5,11.875,Recurring,01-Jan-19,Y,13,0,Sold,17,32,1.882352941,17
499,953,HD-W60EZRZ,7.18E+11,WD60EZRZ,Western Digital,SATA,Component,Hard Drive,Desktop HDD,Western Digital Blue WD60EZRZ 6TB 5400RPM SATA3/SATA 6.0 GB/s 64MB Hard Drive (3.5 inch),169.12,126.84,13,2.5,39.78,Recurring,01-Jan-19,Y,1.8,0,Sold,17,13,0.764705882,17
500,2116,UPS-SM300C,7.31E+11,SMT3000C,APC,UPS,Component,Power Protection / UPS,UPS,APC Smart-UPS SMT3000C 10-Outlet 2700W/2880VA 120V LCD UPS System w/ SmartConnect,1091.63,818.7225,13,10,262.9075,Recurring,01-Jan-19,Y,134,0,Sold,17,13,0.764705882,17
501,831,KS-K64998W,85896649984,K64998WW,Kensington,Security Lock,PC & Laptop,Accessory,Security Lock,Kensington K64998WW ClickSafe Keyed Laptop Locks - Duo Lockheads,56.37,42.2775,18,2.5,11.5925,Recurring,01-Jan-19,Y,0.4,0,Sold,17,18,1.058823529,17
502,2284,PS-SS600ET,,SS-600ET BRONZE,Seasonic,Desktop,Component,Power Supply,Desktop,Seasonic SS-600ET 600W 80 Plus bronze ATX12V V2.3 Power Supply,67.65,50.7375,18,2.5,14.4125,Recurring,01-Jan-19,Y,4.4,0,Sold,17,18,1.058823529,17
503,2806,KB-HERM3BR,8.48E+11,GD-HERMES M3 BROWN,GAMDIAS,Keyboard,Component,Input & Output Device,Keyboard,Gamdias GD-HERMES M3 BROWN Wired USB RGB Mechanical Gaming Keyboard,80.98,60.735,18,2.5,17.745,Recurring,01-Jan-19,Y,1.92,0,Sold,17,18,1.058823529,17
504,2817,MO-HADESM1,8.48E+11,GD-HADES M1,GAMDIAS,Mouse,Component,Input & Output Device,Mouse,Gamdias GD-HADES M1 Wired/Wireless Gaming Mouse,81,60.75,18,2.5,17.75,Recurring,01-Jan-19,Y,0.9,0,Sold,17,18,1.058823529,17
505,3599,MSI-103L24,8.24E+11,G103024PC,MSI,Nvidia,Component,Video Card,PCI Express Video Card,MSI NVIDIA GeForce GT 1030 2GD4 LP OC 2GB DDR4 HDMI/DisplayPort Low Profile PCI-Express Video Card,87.12,65.34,18,2.5,19.28,Recurring,01-Jan-19,Y,1.5,0,Sold,17,18,1.058823529,17
506,919,ST1TBNX303,7.64E+11,ST1000NX0303,Seagate,SATA,Component,Hard Drive,Enterprise HDD,"Seagate Enterprise Capacity ST1000NX0303 1TB 7200RPM SATA 6.0 GB/s 128MB Enterprise Hard Drive (2.5 inch, Exos 7E2000 HDD 4KN SATA)",162.98,122.235,18,2.5,38.245,Recurring,01-Jan-19,Y,0.45,0,Sold,17,18,1.058823529,17
507,1727,AS-VG275Q,8.89E+11,VG275Q,ASUS,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Asus VG275Q 27 inch Widescreen 100,000,000:1 1ms VGA/2HDMI/DisplayPort LCD Monitor w/ Speakers (Black)",265.47,199.1025,18,3.5,62.8675,Recurring,01-Jan-19,Y,17.6,0,Sold,17,18,1.058823529,17
508,727,AS-CBOX019,1.93E+11,CHROMEBOX 3-N019U,ASUS,Desktop System,PC & Laptop,Desktop System,,Asus CHROMEBOX 3-N019U Intel Core i3-7100U 2.4GHz/ 8GB DDR4/ 32GB SSD/ No ODD/ Chrome OS Desktop PC (Star Grey),490.97,368.2275,18,2.5,120.2425,Recurring,01-Jan-19,Y,3.09,0,Sold,17,18,1.058823529,17
509,1396,SYN-R1219P,8.47E+11,RS1219+,Synology,Enterprise,Component,NAS / DAS / SAN,NAS,Synology RackStation RS1219+ 8-bay Rackmount NAS for Enterprises,1271.51,953.6325,18,3.5,314.3775,Recurring,01-Jan-19,Y,21,0,Sold,17,18,1.058823529,17
510,2367,CA-01812WT,8.41E+11,CL-F018-PL12WT-A,Thermaltake,120mm,Component,Fan & Heatsink,Case Fan,Thermaltake Luna 120mm White LED Case Fan,10.25,7.6875,23,2.5,0.0625,Recurring,01-Jan-19,Y,0.4,0,Sold,17,23,1.352941176,17
511,2750,CA-QUIET14,7.61E+11,TRUE QUIET 140,Antec,140mm,Component,Fan & Heatsink,Case Fan,Antec TrueQuiet 140 140mm Case Fan,6.97,1.97,23,0,5,Recurring,01-Jan-19,Y,0.69,0,Sold,17,23,1.352941176,17
512,2507,CA-AL12PWM,8.43E+11,FD-FAN-PRI-AL12-PWM,Fractal Design,120mm,Component,Fan & Heatsink,Case Fan,Fractal Design Prisma AL-12 PWM FD-FAN-PRI-AL12-PWM 120mm Case Fan,24.6,18.45,23,2.5,3.65,Recurring,01-Jan-19,Y,0.47,0,Sold,17,23,1.352941176,17
513,3812,CA-CAP360A,,CAPTAIN 360EX,DEEPCOOL,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,DEEPCOOL CAPTAIN 360EX 360mm CPU Liquid Cooler for Intel LGA2011-v3/2011/1366/115X & AMD Socket AM4/AM3+/AM3/AM2+/AM2/FM2+/FM2/FM1,94.81,71.1075,23,2.5,21.2025,Recurring,01-Jan-19,Y,3.92,0,Sold,17,23,1.352941176,17
514,830,KS-K67890W,85896678908,K67890WW,Kensington,Security Lock,PC & Laptop,Accessory,Security Lock,Kensington K67890WW MiniSaver Mobile Keyed Lock,56.37,42.2775,20,2.5,11.5925,Recurring,01-Jan-19,Y,0.6,0,Sold,17,20,1.176470588,17
515,779,AS-G120ADP,8.86E+11,90XB00DN-MPW010,ASUS,Battery & Charger,PC & Laptop,Accessory,Battery & Charger,Asus 90XB00DN-MPW010 120W G-Series Notebook Power Adapter,70.73,53.0475,20,2.5,15.1825,Recurring,01-Jan-19,Y,5.13,0,Sold,17,20,1.176470588,17
516,975,SP-RAILB02,8.85E+11,RAIL-B02,QNAP,Accessories,Component,NAS / DAS / SAN,NAS,QNAP RAIL-B02 Rail Kit for New 1U & all 2U Rackmount Models,90,67.5,15,2.5,20,Recurring,01-Jan-19,Y,1,0,Sold,17,15,0.882352941,17
517,14,CT426B16_W,6.5E+11,BLS16G4D26BFSC,Crucial,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Crucial Ballistix Sport LT White DDR4-2666 16GB CL16 Memory,91.23,68.4225,20,2.5,20.3075,Recurring,01-Jan-19,Y,0.17,0,Sold,17,20,1.176470588,17
518,2027,CA-ARMOR1B,1.93E+11,ARMOR ONE BLACK,Cougar,Gaming Accessory,Electronics,Gaming Accessory,,COUGAR Armor One (Black) 180 degree continuous recling full steel frame 260 lbs capacity gaming chair ,172.71,129.5325,25,10,33.1775,Recurring,01-Jan-19,Y,47,0,Sold,17,25,1.470588235,17
519,1022,MB-PRZ390P,1.93E+11,PRIME Z390-P,ASUS,Socket 1151,Component,Motherboard,Desktop,Asus PRIME Z390-P LGA1151/ Intel Z390/ DDR4/ CrossFireX/ SATA3&USB3.1/ M.2/ A&GbE/ ATX Motherboard,148.11,111.0825,20,2.5,34.5275,Recurring,01-Jan-19,Y,2.5,0,Sold,17,20,1.176470588,17
520,534,I5-7400,,CM8067702867050,Intel,Core I5,Component,CPU / Processor,Desktop CPU,"Intel Core i5-7400 Kaby Lake Processor 3.0GHz 8.0GT/s 6MB LGA 1151 CPU, OEM",175.27,131.4525,30,0,43.8175,Recurring,01-Jan-19,Y,0.06,0,Sold,17,30,1.764705882,17
521,1327,INT-G44HTB,7.36E+11,E1G44HTBLK,Intel,Wired Network Adapter,Component,Networking,Wired Networking,Intel E1G44HTBLK I340-T4 Gigabit Ethernet Quad-Port PCI-Express Server Adapter,268.55,201.4125,20,2.5,64.6375,Recurring,01-Jan-19,Y,0.28,0,Sold,17,20,1.176470588,17
522,3488,MB-X10SRF,6.72E+11,X10SRI-F-O,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X10SRI-F-O LGA2011/ Intel C612/ DDR4/ SATA3&USB3.0/ V&2GbE/ ATX Server Motherboard ,273.16,204.87,20,2.5,65.79,Recurring,01-Jan-19,Y,5,0,Sold,17,20,1.176470588,17
523,3655,AS-T166TO6,1.93E+11,TUF-GTX1660TI-O6G-GAMING,ASUS,Nvidia,Component,Video Card,PCI Express Video Card,Asus TUF Gaming NVIDIA GeForce GTX 1660 Ti OC 6GB GDDR6 2HDMI/DisplayPort/DVI-D PCI-Express Video Card,296.22,222.165,20,2.5,71.555,Recurring,01-Jan-19,Y,2.3,0,Sold,17,20,1.176470588,17
524,761,MSI-S65422,8.24E+11,GS65422,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI GS65 Stealth-422 15.6 inch Intel Core i7-9750H 2.6GHz/ 32GB DDR4/ 512GB SSD/ RTX 2070/ USB3.2/ Windows 10 Pro Ultrabook (Matte Black with Gold Diamond cut),2428.23,1821.1725,25,2.5,604.5575,Recurring,01-Jan-19,Y,7.59,0,Sold,17,25,1.470588235,17
525,671,SM-P580NZK,8.87E+11,SM-P580NZKAXAR,Samsung,Tablet PC,PC & Laptop,Tablet PC,,Samsung Galaxy Tab A SM-P580NZKAXAR 10.1 inch Exynos 7870 1.6GHz/ 16GB/ Android 6.0 Marshmallow Tablet w/ S Pen (Black),333.12,249.84,37,2.5,80.78,Recurring,01-Jan-19,Y,1.81,0,Sold,17,37,2.176470588,17
526,2241,CA-1B8S1WN,8.41E+11,CA-1B8-00S1WN-00,Thermaltake,Mini-ITX Case,Component,Case,Computer Case,Thermaltake Core V1 CA-1B8-00S1WN-00 No Power Supply Mini-ITX Cube Case (Black),48.18,36.135,32,2.5,9.545,Recurring,01-Jan-19,Y,9,0,Sold,17,32,1.882352941,17
527,2922,KB-DTHFIRE,8.72E+11,CGR-WXNMB-DF2,Cougar,Keyboard & Mouse Combo,Component,Input & Output Device,Keyboard & Mouse Combo,Cougar CGR-WXNMB-DF2 Deathfire EX Gaming Gear Keyboard & Mouse Combo,51.66,38.745,32,2.5,10.415,Recurring,01-Jan-19,Y,1.95,0,Sold,17,32,1.882352941,17
528,1071,MB-H31APRO,8.24E+11,H310-A PRO,MSI,Socket 1151,Component,Motherboard,Desktop,MSI H310-A PRO LGA1151/ Intel H310/ DDR4/ SATA3&USB3.1/ A&GbE/ ATX Motherboard,78.93,59.1975,32,2.5,17.2325,Recurring,01-Jan-19,Y,2,0,Sold,17,32,1.882352941,17
529,3991,CA-ALC6PK5,8.86E+11,BFX-ALC-6CONPCIKK-RP,BitFenix,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,Bitfenix Alchemy 2.0 PCI-E 6Pin Connector Pack,1.54,1.155,17,0,0.385,Recurring,01-Jan-19,Y,0.01,0,Sold,17,17,1,17
530,3913,SUG-PH8,7.31E+11,PH8,APC,Surge Protection,Component,Power Protection / UPS,Surge Protection,APC PH8 Home Office SurgeArrest 8-Outlet/ 120V/ 2160 Joules Surge Protector,16.71,12.5325,17,2.5,1.6775,Recurring,01-Jan-19,Y,1.83,0,Sold,17,17,1,17
531,479,ST3U28ST1K,8.41E+11,ST3U28ST1K,SUPER TALENT,USB 3.0 ,Component,USB Drive,USB 3.0,Super Talent 128GB Express ST1 USB 3.0 Flash Drive,15.37,11.5275,34,0,3.8425,Recurring,01-Jan-19,Y,0.06,0,Sold,17,34,2,17
532,21,CT426A4G_G,6.5E+11,BLS4G4D26BFSB,Crucial,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Crucial Ballistix Sport LT Gray DDR4-2666 4GB/512Mx64 CL16 Memory,30.75,23.0625,17,2.5,5.1875,Recurring,01-Jan-19,Y,0.17,0,Sold,17,17,1,17
533,3132,P4101M2256,7.36E+11,SSDPEKKA256G801,Intel,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Intel DC P4101 Series SSDPEKKA256G801 256GB M.2 PCI-Express NVMe 3.1 x4 Solid State Drive (TLC),70.73,53.0475,17,0,17.6825,Recurring,01-Jan-19,Y,0.1,0,Sold,17,17,1,17
534,3810,CA-CAP24R3,,CAPTAIN 240EX RGB,DEEPCOOL,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,DEEPCOOL CAPTAIN 240EX RGB 240mm CPU Liquid Cooler for LGA2011-V3/2011/1366/115X & AMD Socket AM4/AM3+/AM3/AM2+/AM2/FM2+/FM2/FM1,86.1,64.575,17,2.5,19.025,Recurring,01-Jan-19,Y,4.15,0,Sold,17,17,1,17
535,1800,NEC-AS172,8.06E+11,AS172-BK,NEC Display Solutions,"17"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD Monitor,"NEC AccuSync AS172-BK 17 inch 1,000:1 5ms VGA/DVI LED LCD Monitor (Black) ",152.73,114.5475,17,2.5,35.6825,Recurring,01-Jan-19,Y,9.65,0,Sold,17,17,1,17
536,3615,GV-1650O4G,8.9E+11,GV-N1650OC-4GD,GIGABYTE,Nvidia,Component,Video Card,PCI Express Video Card,GIGABYTE NVIDIA GeForce GTX 1650 OC 4GB GDDR5 2HDMI/DisplayPort PCI-Express Video Card,164.51,123.3825,17,2.5,38.6275,Recurring,01-Jan-19,Y,1.5,0,Sold,17,17,1,17
537,1828,ACE-V246MP,,UM.FV6AA.004,Acer,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Acer V246HL bmdp 24 inch Widescreen 100,000,000:1 5ms VGA/DVI/DisplayPort LED LCD Monitor, w/ Speakers (Black)",169.12,126.84,17,3.5,38.78,Recurring,01-Jan-19,Y,12,0,Sold,17,17,1,17
538,318,S3510B800G,7.36E+11,SSDSC2BB800G601,Intel,SATA3,Component,Solid State Drive,SATA3,Intel DC S3510 Series SSDSC2BB800G601 800GB 2.5 inch SATA3 Solid State Drive (MLC),347.47,260.6025,17,2.5,84.3675,Recurring,01-Jan-19,Y,0.25,0,Sold,17,17,1,17
539,2516,CA-SL12WT,8.43E+11,FD-FAN-PRI-SL12-WT,Fractal Design,120mm,Component,Fan & Heatsink,Case Fan,Fractal Design Prisma SL-12 White FD-FAN-PRI-SL12-WT 120mm Case Fan ,13.33,9.9975,29,2.5,0.8325,Recurring,01-Jan-19,Y,0.36,0,Sold,17,29,1.705882353,17
540,1562,MB-610SP,8.85E+11,MB610SP,Icy Dock,Accessory,Component,Hard Drive,Accessory,ICY DOCK EZ-FIT Trio MB610SP Triple 2.5 inch SSD / HDD Bracket for Internal 3.5 inch Drive Bay (Black),8.05,6.0375,29,0,2.0125,Recurring,01-Jan-19,Y,0.28,0,Sold,17,29,1.705882353,17
541,124,D32EA512,8.78E+11,D32EA512,SUPER TALENT,Server DDR1,Component,DRAM Memory,Server DRAM,Super Talent D400 512MB/64x8 ECC Samsung Chip Server Memory,18.45,13.8375,29,0,4.6125,Recurring,01-Jan-19,Y,0.08,0,Sold,17,29,1.705882353,17
542,2678,CA-B510LKA,8.84E+11,MCB-B510L-KANN-S00,Cooler Master,ATX Mid Tower,Component,Case,Computer Case,Cooler Master MasterBox MB510L No Power Supply ATX Mid Tower Case w/ Window,51.25,38.4375,29,3.5,9.3125,Recurring,01-Jan-19,Y,14,0,Sold,17,29,1.705882353,17
543,1068,MB-Z39GPCA,8.24E+11,Z390GPCARAC,MSI,Socket 1151,Component,Motherboard,Desktop,MSI MPG Z390 GAMING PRO CARBON AC LGA1151/ Intel Z390/ DDR4/ 3-Way CrossFireX & 2-Way SLI/ SATA3&USB3.1/ M.2/ WiFi/ A&GbE/ ATX Motherboard,237.8,178.35,29,2.5,56.95,Recurring,01-Jan-19,Y,3.3,0,Sold,17,29,1.705882353,17
544,3598,MSI-2060V6,8.24E+11,G2060V6C,MSI,Nvidia,Component,Video Card,PCI Express Video Card,MSI NVIDIA GeForce RTX 2060 VENTUS 6G OC 6GB GDDR6 HDMI/3DisplayPort PCI-Express Video Card,376.69,282.5175,29,2.5,91.6725,Recurring,01-Jan-19,Y,3.37,0,Sold,17,29,1.705882353,17
545,3287,MSI-L73219,8.24E+11,GL739SDK219,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI GL73 9SDK-219 17.3 inch Intel Core i7-9750H 2.6GHz/ 16GB DDR4/ 512GB SSD/ GTX 1660 Ti/ USB3.2/ Windows 10 Home Notebook (Black),1474.98,1106.235,29,2.5,366.245,Recurring,01-Jan-19,Y,9.53,0,Sold,17,29,1.705882353,17
546,2051,FAN-KR12W1,8.16E+11,RL-KRG12-W1,NZXT,VGA Accessory & Cooling Fan,Component,Video Card,VGA Accessory & Cooling Fan,NZXT Kraken G12 RL-KRG12-W1 GPU Bracket (Matte White),33.31,24.9825,12,2.5,5.8275,Recurring,01-Jan-19,Y,0.63,0,Sold,17,12,0.705882353,17
547,645,LN-81H0012,1.93E+11,81H00012US,Lenovo,Chromebook,PC & Laptop,Chromebook,,Lenovo 300e 2 in 1 81H00012US 11.6 inch MediaTek MT8173C 1.3GHz/ 4GB LPDDR3/ 32GB eMMC/ USB3.1/ Chrome OS Notebook (Dark gray),224.48,168.36,24,2.5,53.62,Recurring,01-Jan-19,Y,2.98,0,Sold,17,24,1.411764706,17
548,2186,FAN-SR14C4,8.86E+11,BFF-SRGB-14025C-RP,BitFenix,140mm,Component,Fan & Heatsink,Case Fan,BitFenix Spectre Pro RGB 140mm LED Case Fan W/Controller,20.24,15.18,31,2.5,2.56,Recurring,01-Jan-19,Y,0.55,0,Sold,17,31,1.823529412,17
549,2617,FAN-12MRHP,8.13E+11,SU1225FD12M-RHP,Scythe,120mm,Component,Fan & Heatsink,Case Fan,Scythe SimplyCool Kaze Flex 120 PWM SU1225FD12M-RHP 120mm Case Fan,11.02,8.265,19,2.5,0.255,Recurring,01-Jan-19,Y,0.5,0,Sold,17,19,1.117647059,17
550,1553,EN-MB082SP,8.85E+11,MB082SP,Icy Dock,Accessory,Component,Hard Drive,Accessory,ICY DOCK EZ-FIT PRO MB082SP Full Metal Dual 2.5 inch to 3.5 inch Hard Drive & SSD Mounting Kit w/ 3.5 inch Bracket(Black),11.5,8.625,19,2.5,0.375,Recurring,01-Jan-19,Y,0.56,0,Sold,17,19,1.117647059,17
551,1577,FM-H50304,6.49E+11,H50304,Hiro,Wired Network Adapter,Component,Networking,Wired Networking,HiRO H50304 Low Profile Internal PCI-Express Gigabit Ethernet Card  ,14.35,10.7625,19,2.5,1.0875,Recurring,01-Jan-19,Y,0.17,0,Sold,17,19,1.117647059,17
552,2857,MO-A50BK,8.78E+11,A50 BLACK,BORND,Mouse,Component,Input & Output Device,Mouse,Bornd A50 Wireless 2.4GHz Laser Mouse (Black),58.41,43.8075,19,2.5,12.1025,Recurring,01-Jan-19,Y,0.6,0,Sold,17,19,1.117647059,17
553,1050,MB-H31MAR2,,H310M A 2.0,GIGABYTE,Socket 1151,Component,Motherboard,Desktop,GIGABYTE H310M A 2.0 LGA1151/ Intel H310/ DDR4/ SATA3&USB3.1/ M.2/ V&A&GbE/ MicroATX Motherboard ,69.7,52.275,19,2.5,14.925,Recurring,01-Jan-19,Y,1.6,0,Sold,17,19,1.117647059,17
554,3809,CA-CAP240A,,CAPTAIN 240EX,DEEPCOOL,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,DEEPCOOL CAPTAIN 240EX 120mm CPU Liquid Cooler for LGA2011-V3/2011/1366/1156/1155/1151/1150 & AMD Socket AM4/FM2+/FM2/FM1/AM3+/AM3/AM2+/AM2,70.73,53.0475,19,2.5,15.1825,Recurring,01-Jan-19,Y,2.6,0,Sold,17,19,1.117647059,17
555,3646,EVGA-NVLI4,8.43E+11,100-2W-0030-LR,EVGA,VGA Accessory & Cooling Fan,Component,Video Card,VGA Accessory & Cooling Fan,EVGA 100-2W-0030-LR GeForce RTX NVLink SLI Bridge with RGB LED (4-Slot Spacing),80.98,60.735,19,2.5,17.745,Recurring,01-Jan-19,Y,0.24,0,Sold,17,19,1.117647059,17
556,3396,MB-PB360PL,8.89E+11,PRIME B360-PLUS,ASUS,Socket 1151,Component,Motherboard,Desktop,Asus PRIME B360-PLUS LGA1151/ Intel B360/ DDR4/ CrossFireX/ SATA3&USB3.1/ M.2/ A&GbE/ ATX Motherboard,101.99,76.4925,19,2.5,22.9975,Recurring,01-Jan-19,Y,2.65,0,Sold,17,19,1.117647059,17
557,2178,CA-POT15K2,8.86E+11,BFC-POT-150-KKWKK-RP,BitFenix,Mini-ITX Case,Component,Case,Computer Case,BitFenix Portal Window BFC-POT-150-KKWKK-RP No Power Supply Mini-ITX Case (Black),117.87,88.4025,19,2.5,26.9675,Recurring,01-Jan-19,Y,7.2,0,Sold,17,19,1.117647059,17
558,1053,MB-X47AG5W,8.9E+11,X470 AORUS GAMING 5 WIFI,GIGABYTE,Socket AM4,Component,Motherboard,Desktop,GIGABYTE X470 AORUS GAMING 5 WIFI Socket AM4/ AMD X470/ DDR4/ Quad-GPU CrossFireX & Quad-GPU SLI/ SATA3&USB3.1/ M.2/ WiFi/ A&GbE/ ATX Motherboard,189.11,141.8325,19,2.5,44.7775,Recurring,01-Jan-19,Y,3.35,0,Sold,17,19,1.117647059,17
559,999,MB-X470TCU,,X470 TAICHI ULTIMATE,ASRock,Socket AM4,Component,Motherboard,Desktop,ASRock X470 TAICHI ULTIMATE Socket AM4/ AMD X470/ DDR4/ Quad CrossFireX & Quad SLI/ SATA3&USB3.1/ M.2/ WiFi/ A&2GbE/ ATX Motherboard,261.38,196.035,19,2.5,62.845,Recurring,01-Jan-19,Y,5.93,0,Sold,17,19,1.117647059,17
560,256,XS400LE003,,XS400LE10003,Seagate,SAS,Component,Solid State Drive,SAS,Seagate Nytro 3000 XS400LE10003 400GB 2.5 inch SAS 12.0GB/s Solid State Drive (3D eMLC),275.72,206.79,19,2.5,66.43,Recurring,01-Jan-19,Y,0.37,0,Sold,17,19,1.117647059,17
561,1711,AS-PB258Q,8.86E+11,PB258Q,ASUS,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Asus PB258Q 25 inch Widescreen 100,000,000:1 5ms VGA/DVI/HDMI/DisplayPort LED LCD Monitor, w/ Speakers (Black) ",347.47,260.6025,19,3.5,83.3675,Recurring,01-Jan-19,Y,22,0,Sold,17,19,1.117647059,17
562,682,AS-UX392X7,1.93E+11,UX392FN-XS77,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,ASUS ZenBook S13 UX392FN-XS77 13.9 inch Intel Core i7-8565U 1.8GHz/ 16GB LPDDR3/ 512GB SSD/ USB3.1/ Windows 10 Pro Ultrabook (Premium Galaxy Aluminum Blue),1515.98,1136.985,19,3.5,375.495,Liquidation,01-Jan-19,Y,12,0,Sold,17,19,1.117647059,17
563,764,MSI-E75653,8.24E+11,GE75653,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI GE75 Raider-653 17.3 inch Intel Core i9-9880H 2.3GHz/ 32GB DDR4/ 1TB SSD/ RTX 2070/ USB3.2/ Windows 10 Home Notebook (Aluminum Black),2827.98,2120.985,19,3.5,703.495,Liquidation,01-Jan-19,Y,10.66,0,Sold,17,19,1.117647059,17
564,769,MSI-T75249,8.24E+11,GT75249,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI GT75 TITAN-249 17.3 inch Intel Core i7-9750H 2.6GHz/ 32GB DDR4/ 512GB SSD + 1TB HDD/ RTX 2070/ USB3.2/ Windows 10 Pro Notebook (Aluminum Black),2817.73,2113.2975,26,3.5,700.9325,Recurring,01-Jan-19,Y,14.7,0,Sold,17,26,1.529411765,17
565,4006,CA-ACL40R2,8.86E+11,BFX-ALC-40CMLR-RP,BitFenix,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,BitFenix Alchemy 2.0 5x 40cm Sleeved PSU Cable (Red),1.95,1.4625,33,0,0.4875,Recurring,01-Jan-19,Y,0.09,0,Sold,17,33,1.941176471,17
566,2025,CA-ARMOR-S,8.72E+11,ARMOR-S,Cougar,Gaming Accessory,Electronics,Gaming Accessory,,Cougar Armor S Luxury Gaming Chair,233.7,175.275,33,10,48.425,Recurring,01-Jan-19,Y,58,0,Sold,17,33,1.941176471,17
567,2744,CA-TRI12CL,7.61E+11,TRICOOL 120MM,Antec,120mm,Component,Fan & Heatsink,Case Fan,Antec TriCool 120mm Clear Case Fan,6.15,1.15,28,0,5,Recurring,01-Jan-19,Y,0.3,0,Sold,17,28,1.647058824,17
568,6,W1600UA4GV,8.78E+11,W1600UA4GV,SUPER TALENT,DDR3 1600,Component,DRAM Memory,Desktop DRAM,Super Talent DDR3-1600 4GB 512Mx8 Value Memory,29.21,21.9075,28,0,7.3025,Recurring,01-Jan-19,Y,0.05,0,Sold,17,28,1.647058824,17
569,915,ST300MP06S,7.64E+11,ST300MP0006,Seagate,SAS,Component,Hard Drive,Enterprise HDD,"Seagate Enterprise Performance 15K ST300MP0006 300GB 15000RPM SAS 12.0 GB/s 256MB Enterprise Hard Drive (2.5 inch, Exos 15E900 HDD 512N)",179.37,134.5275,28,2.5,42.3425,Recurring,01-Jan-19,Y,0.5,0,Sold,17,28,1.647058824,17
570,1065,EL-3050-8G,8.14E+11,EL-20-3050-8GB,GIGABYTE,Desktop Barebone,Component,Barebone,Desktop Barebone,GIGABYTE EL-20-3050-8GB Intel Celeron N3050 1.6GHz/ DDR3L/ 8GB eMMC/ WiFi/ A&V&2GbE/ Embedded System,193.73,145.2975,14,2.5,45.9325,Recurring,01-Jan-19,Y,4,0,Sold,17,14,0.823529412,17
571,1670,AS-MB169BP,8.86E+11,MB169B+,ASUS,"14""/15"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD Monitor,Asus MB169B+ 15.6 inch Widescreen 700:1 14ms USB LED LCD Monitor (Silver+Black),193.73,145.2975,14,2.5,45.9325,Recurring,01-Jan-19,Y,4.5,0,Sold,17,14,0.823529412,17
572,522,I7_3770,,CM8063701211600,Intel,Core I7,Component,CPU / Processor,Desktop CPU,"Intel Core i7-3770 Ivy Bridge Processor 3.4GHz 5.0GT/s 8MB LGA 1155 CPU, OEM",210.12,157.59,28,0,52.53,Recurring,01-Jan-19,Y,0.07,0,Sold,17,28,1.647058824,17
573,4108,CA-FAN11L4,6.72E+11,FAN-0111L4,Supermicro,80mm,Component,Fan & Heatsink,Case Fan,"Supermicro FAN-0111L4 80x80x38mm 9.5K RPM 4Pin PWM Cooling Fan For 2U SC827, SC217 Chassis",20.5,15.375,21,2.5,2.625,Recurring,01-Jan-19,Y,0.5,0,Sold,17,21,1.235294118,17
574,478,ST3U64ST1K,8.78E+11,ST3U64ST1K,SUPER TALENT,USB 3.0 ,Component,USB Drive,USB 3.0,Super Talent 64GB Express ST1 USB 3.0 Flash Drive,10.76,8.07,21,0,2.69,Recurring,01-Jan-19,Y,0.06,0,Sold,17,21,1.235294118,17
