List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
3694,NET-GS105,6.06E+11,GS105NA,Netgear,Unmanaged Gigabit Switch,Component,Networking,Wired Networking,Netgear GS105 5-Port 10/100/1000 Gigabit Ethernet Switch,39.97,3,Recurring,01 January 2019,L,1.2,0.917602996,0.157894737
1526,CA-270A31K,8.45E+11,NST-270A31-BK,Vantec,External Enclosure,Hardware & Software,External Enclosure,,Vantec NexStar NST-270A31-BK 2.5 inch SATA3 to USB 3.1 External Hard Drive Enclosure,22.04,3,Recurring,01 January 2019,L,0.52,0.917602996,0.157894737
2068,FAN-BGP123,8.54E+11,B-PWM 120 BLUE 2BALL,Bgears,120mm,Component,Fan & Heatsink,Case Fan,Bgears B-PWM 120mm Blue LED PWM Case Fan,10.05,3,Recurring,01 January 2019,L,0.43,0.917602996,0.157894737
2601,CA-BTSW2,8.45E+11,PP07-BTSW,SilverStone,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,Silverstone PP07-BTSW 4pin to 4SATA PSU Cable (White),8.97,3,Recurring,01 January 2019,L,1,0.917602996,0.157894737
1469,ST-C5_25YL,,UTP-4P5E-25YEL,iMicro,Ethernet Cable,Component,Cable,Cat5 Cable,iMicro UTP-4P5E-25YEL 25ft CAT5e Cable (Yellow),5.64,3,Recurring,01 January 2019,L,0.62,0.917602996,0.157894737
1349,TP-SG108,8.46E+11,TL-SG108,TP-Link,Unmanaged Gigabit Switch,Component,Networking,Wired Networking,TP-Link TL-SG108 8-Port Gigabit Desktop Switch,,,,,,,0.917602996,0.157894737
1516,BTASUSA3B,8.78E+11,BTASUSA3B,iMicro,Battery & Charger,PC & Laptop,Accessory,Battery & Charger,iMicro 8-cell Li-Ion Battery For Asus Notebook,,,,,,,0.917602996,0.157894737
452,STU8GCKBN,8.78E+11,STU8GCKBN,SUPER TALENT,8GB,Component,USB Drive,2.0 USB Drive,Super Talent 8GB Elite Series CKB USB 2.0 Flash Drive (Nickel),,,,,,,0.917602996,0.157894737
4077,CA-MCP2694,6.72E+11,MCP-260-00094-0N,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,Supermicro MCP-260-00094-0N 1U I/O Shield for X11SSZ with EMI Gasket in CSE-512/813,,,,,,,0.917602996,0.157894737
1339,TP-WN725N,8.46E+11,TL-WN725N,TP-Link,Wireless Network Adapter,Component,Networking,Wireless Networking,TP-Link TL-WN725N 150Mbps Wireless N Nano USB Adapter ,,,,,,,0.917602996,0.157894737
2941,MPC-SPE-L,8.72E+11,MPC-SPE-L,Cougar,Mouse Pad,Component,Input & Output Device,Mouse Pad,Cougar Speed Series MPC-SPE-L Gaming Mouse Pad,,,,,,,0.917602996,0.157894737
3694,NET-GS105,6.06E+11,GS105NA,Netgear,Unmanaged Gigabit Switch,Component,Networking,Wired Networking,Netgear GS105 5-Port 10/100/1000 Gigabit Ethernet Switch,,,,,,,0.917602996,0.157894737
1526,CA-270A31K,8.45E+11,NST-270A31-BK,Vantec,External Enclosure,Hardware & Software,External Enclosure,,Vantec NexStar NST-270A31-BK 2.5 inch SATA3 to USB 3.1 External Hard Drive Enclosure,,,,,,,0.917602996,0.157894737
2068,FAN-BGP123,8.54E+11,B-PWM 120 BLUE 2BALL,Bgears,120mm,Component,Fan & Heatsink,Case Fan,Bgears B-PWM 120mm Blue LED PWM Case Fan,,,,,,,0.917602996,0.157894737
2601,CA-BTSW2,8.45E+11,PP07-BTSW,SilverStone,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,Silverstone PP07-BTSW 4pin to 4SATA PSU Cable (White),,,,,,,0.917602996,0.157894737
1469,ST-C5_25YL,,UTP-4P5E-25YEL,iMicro,Ethernet Cable,Component,Cable,Cat5 Cable,iMicro UTP-4P5E-25YEL 25ft CAT5e Cable (Yellow),,,,,,,0.917602996,0.157894737
4025,CA-1D5S1WN,8.41E+11,CA-1D5-00S1WN-00,Thermaltake,MicroATX Case,Component,Case,Computer Case,Thermaltake Core V21 CA-1D5-00S1WN-00 No Power Supply MicroATX Cube Case (Black),64.57,4,Recurring,01 January 2019,Y,17.6,0.851123596,0.16
2244,CA-1M7M1WN,8.41E+11,CA-1M7-00M1WN-00,Thermaltake,ATX Mid Tower,Component,Case,Computer Case,Thermaltake Level 20 MT ARGB CA-1M7-00M1WN-00 No Power Supply ATX Mid Tower (Black),100.45,4,Recurring,01 January 2019,Y,15,0.851123596,0.16
2229,CA-RM413F1,8.09E+11,RM41300-F1,Chenbro,4U,Component,Server,Server Chassis,Chenbro RM41300-F1 No Power Supply 4U Open-bay Rackmount Server Chassis w/ 1x Door,133.25,4,Recurring,01 January 2019,Y,35,0.851123596,0.16
4083,CA-MCP257N,6.72E+11,MCP-290-00057-0N,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,"Supermicro MCP-290-00057-0N 26.5"" to 36.4"" Mounting Rail Set for 4U 17.2"" W",62.52,4,Recurring,01 January 2019,Y,12.1,0.851123596,0.16
4025,CA-1D5S1WN,8.41E+11,CA-1D5-00S1WN-00,Thermaltake,MicroATX Case,Component,Case,Computer Case,Thermaltake Core V21 CA-1D5-00S1WN-00 No Power Supply MicroATX Cube Case (Black),,,,,,,0.851123596,0.16
2244,CA-1M7M1WN,8.41E+11,CA-1M7-00M1WN-00,Thermaltake,ATX Mid Tower,Component,Case,Computer Case,Thermaltake Level 20 MT ARGB CA-1M7-00M1WN-00 No Power Supply ATX Mid Tower (Black),,,,,,,0.851123596,0.16
2229,CA-RM413F1,8.09E+11,RM41300-F1,Chenbro,4U,Component,Server,Server Chassis,Chenbro RM41300-F1 No Power Supply 4U Open-bay Rackmount Server Chassis w/ 1x Door,,,,,,,0.851123596,0.16
4083,CA-MCP257N,6.72E+11,MCP-290-00057-0N,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,"Supermicro MCP-290-00057-0N 26.5"" to 36.4"" Mounting Rail Set for 4U 17.2"" W",,,,,,,0.851123596,0.16
782,AS-ZT18WAC,8.86E+11,90XB02RN-MPW010,ASUS,Battery & Charger,PC & Laptop,Accessory,Battery & Charger,Asus 90XB02RN-MPW010 ZenFone 2 & T100CHI 18W Power Adapter and Cable,50.22,4,Recurring,01 January 2019,Y,0.78,0.859550562,0.16
2512,CA-14PWM3P,8.43E+11,FD-FAN-PRI-AL14-PWM-3P,Fractal Design,140mm,Component,Fan & Heatsink,Case Fan,Fractal Design Prisma AL-14 PWM 3P FD-FAN-PRI-AL14-PWM-3P 140mm Case Fan (3 Pack),66.63,4,Recurring,01 January 2019,Y,1.52,0.859550562,0.16
2283,PS-SS5ETBR,8.82E+11,SS-500ET BRONZE,Seasonic,Desktop,Component,Power Supply,Desktop,Seasonic SS-500ET 500W 80 Plus Bronze ATX12V Power Supply,63.55,4,Recurring,01 January 2019,Y,4,0.859550562,0.16
782,AS-ZT18WAC,8.86E+11,90XB02RN-MPW010,ASUS,Battery & Charger,PC & Laptop,Accessory,Battery & Charger,Asus 90XB02RN-MPW010 ZenFone 2 & T100CHI 18W Power Adapter and Cable,,,,,,,0.859550562,0.16
2512,CA-14PWM3P,8.43E+11,FD-FAN-PRI-AL14-PWM-3P,Fractal Design,140mm,Component,Fan & Heatsink,Case Fan,Fractal Design Prisma AL-14 PWM 3P FD-FAN-PRI-AL14-PWM-3P 140mm Case Fan (3 Pack),,,,,,,0.859550562,0.16
2283,PS-SS5ETBR,8.82E+11,SS-500ET BRONZE,Seasonic,Desktop,Component,Power Supply,Desktop,Seasonic SS-500ET 500W 80 Plus Bronze ATX12V Power Supply,,,,,,,0.859550562,0.16
2716,CA-MP750M,8.84E+11,MPA-MP750-M,Cooler Master,Mouse Pad,Component,Input & Output Device,Mouse Pad,Cooler Master MP750 Mouse Pad (M SIZE),30.75,10,Recurring,01 January 2019,Y,1,0.596629213,0.161290323
2716,CA-MP750M,8.84E+11,MPA-MP750-M,Cooler Master,Mouse Pad,Component,Input & Output Device,Mouse Pad,Cooler Master MP750 Mouse Pad (M SIZE),,,,,,,0.596629213,0.161290323
1076,MB-X299MAP,8.24E+11,X299M-A PRO,MSI,Socket 2066,Component,Motherboard,Desktop,MSI X299M-A PRO LGA2066/ Intel X299/ DDR4/ CrossFireX & SLI/ SATA3&USB3.1/ M.2/ A&GbE/ MicroATX Motherboard,198.85,6,Recurring,01 January 2019,Y,2,0.713483146,0.162162162
3635,EV-1660XBG,8.43E+11,06G-P4-1161-KR,EVGA,Nvidia,Component,Video Card,PCI Express Video Card,EVGA NVIDIA GeForce GTX 1660 XC Black GAMING 6GB GDDR5 DVI/HDMI/DisplayPort PCI-Express Video Card,231.14,6,Recurring,01 January 2019,Y,1.96,0.713483146,0.162162162
3072,F26UB16GH,,F26UB16GH,SUPER TALENT,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Super Talent DDR4-2666 16GB Hynix Chip Memory ,89.18,6,Recurring,01 January 2019,Y,0.06,0.713483146,0.162162162
1498,ST-S8088E1,8.50E+11,SFF8088E-1-MM,iMicro,SAS,Component,Cable,SAS,iMicro SFF8088E-1-MM 1.0m Mini-SAS (SFF-8088) Male to Mini-SAS (SFF-8088) Male External Cable,63,6,Recurring,01 January 2019,Y,0.16,0.713483146,0.162162162
920,ST1TBNX313,7.64E+11,ST1000NX0313,Seagate,SATA,Component,Hard Drive,Enterprise HDD,"Seagate Enterprise Capacity ST1000NX0313 1TB 7200RPM SATA 6.0 GB/s 128MB Enterprise Hard Drive (2.5 inch, Exos 7E2000 HDD 512E SATA)",162.98,6,Recurring,01 January 2019,Y,0.45,0.713483146,0.162162162
260,SSDSG960G,,XF1230-1A0960,Seagate,SATA3,Component,Solid State Drive,SATA3,Seagate Nytro XF1230 Series XF1230-1A0960 960GB 2.5 inch SATA 6Gb/s Solid State Drive (eMLC),235.24,6,Recurring,01 January 2019,Y,0.39,0.713483146,0.162162162
1116,MB-X10SCFB,6.72E+11,X10SRH-CF-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro MBD-X10SRH-CF-B LGA2011/ Intel C612/ DDR4/ SATA3&SAS3&USB3.0/ V&2GbE/ ATX Server Motherboard ,371.05,6,Recurring,01 January 2019,Y,5,0.713483146,0.162162162
1094,MB-A1S27FB,6.72E+11,A1SAI-2750F-B,Supermicro,CPU on Board Combo,Component,Motherboard,CPU on Board Combo,Supermicro A1SAI-2750F-B Intel Atom C2750/ DDR3/ SATA3&USB3.0/ V&4GbE/ Mini-ITX Motherboard & CPU Combo ,373.1,6,Recurring,01 January 2019,Y,5,0.713483146,0.162162162
265,SSDSCKK512,7.36E+11,SSDSCKKW512G8X1,Intel,SATA3,Component,Solid State Drive,SATA3,Intel 545s Series SSDSCKKW512G8X1 512GB M.2 SATA3 Solid State Drive (TLC),97.37,6,Recurring,01 January 2019,Y,0.22,0.713483146,0.162162162
1274,PNY-P5000,7.51E+11,VCQP5000-PB,PNY,Nvidia,Component,Video Card,PCI Express Video Card,PNY NVIDIA Quadro P5000 16GB GDDR5 DVI/4DisplayPorts PCI-Express Video Card,1835.26,6,Recurring,01 January 2019,Y,4.1,0.713483146,0.162162162
1076,MB-X299MAP,8.24E+11,X299M-A PRO,MSI,Socket 2066,Component,Motherboard,Desktop,MSI X299M-A PRO LGA2066/ Intel X299/ DDR4/ CrossFireX & SLI/ SATA3&USB3.1/ M.2/ A&GbE/ MicroATX Motherboard,,,,,,,0.713483146,0.162162162
3635,EV-1660XBG,8.43E+11,06G-P4-1161-KR,EVGA,Nvidia,Component,Video Card,PCI Express Video Card,EVGA NVIDIA GeForce GTX 1660 XC Black GAMING 6GB GDDR5 DVI/HDMI/DisplayPort PCI-Express Video Card,,,,,,,0.713483146,0.162162162
3072,F26UB16GH,,F26UB16GH,SUPER TALENT,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Super Talent DDR4-2666 16GB Hynix Chip Memory ,,,,,,,0.713483146,0.162162162
1498,ST-S8088E1,8.50E+11,SFF8088E-1-MM,iMicro,SAS,Component,Cable,SAS,iMicro SFF8088E-1-MM 1.0m Mini-SAS (SFF-8088) Male to Mini-SAS (SFF-8088) Male External Cable,,,,,,,0.713483146,0.162162162
920,ST1TBNX313,7.64E+11,ST1000NX0313,Seagate,SATA,Component,Hard Drive,Enterprise HDD,"Seagate Enterprise Capacity ST1000NX0313 1TB 7200RPM SATA 6.0 GB/s 128MB Enterprise Hard Drive (2.5 inch, Exos 7E2000 HDD 512E SATA)",,,,,,,0.713483146,0.162162162
260,SSDSG960G,,XF1230-1A0960,Seagate,SATA3,Component,Solid State Drive,SATA3,Seagate Nytro XF1230 Series XF1230-1A0960 960GB 2.5 inch SATA 6Gb/s Solid State Drive (eMLC),,,,,,,0.713483146,0.162162162
1116,MB-X10SCFB,6.72E+11,X10SRH-CF-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro MBD-X10SRH-CF-B LGA2011/ Intel C612/ DDR4/ SATA3&SAS3&USB3.0/ V&2GbE/ ATX Server Motherboard ,,,,,,,0.713483146,0.162162162
1094,MB-A1S27FB,6.72E+11,A1SAI-2750F-B,Supermicro,CPU on Board Combo,Component,Motherboard,CPU on Board Combo,Supermicro A1SAI-2750F-B Intel Atom C2750/ DDR3/ SATA3&USB3.0/ V&4GbE/ Mini-ITX Motherboard & CPU Combo ,,,,,,,0.713483146,0.162162162
265,SSDSCKK512,7.36E+11,SSDSCKKW512G8X1,Intel,SATA3,Component,Solid State Drive,SATA3,Intel 545s Series SSDSCKKW512G8X1 512GB M.2 SATA3 Solid State Drive (TLC),,,,,,,0.713483146,0.162162162
1274,PNY-P5000,7.51E+11,VCQP5000-PB,PNY,Nvidia,Component,Video Card,PCI Express Video Card,PNY NVIDIA Quadro P5000 16GB GDDR5 DVI/4DisplayPorts PCI-Express Video Card,,,,,,,0.713483146,0.162162162
2573,FAN-R18,,R18,Dynatron,Server,Component,Fan & Heatsink,CPU Fan & Heatsink,Dynatron R18 1U Server CPU Fan For Intel LGA2011,32.8,7,Recurring,01 January 2019,Y,1.31,0.754414125,0.162162162
94,W1333SA4GV,,W1333SA4GV(SZ),SUPER TALENT,DDR3 1333,Component,DRAM Memory,Notebook DRAM,Super Talent DDR3-1333 SODIMM 4GB/512X8 Value Notebook Memory,29.72,7,Recurring,01 January 2019,Y,0.04,0.754414125,0.162162162
3720,CA-CBL042L,6.72E+11,CBL-0042L,Supermicro,Power Cable,Component,Cable,Power Cable,Supermicro CBL-0042L 24pin Power Extension Cable,11.27,7,Recurring,01 January 2019,Y,0.15,0.754414125,0.162162162
2958,VC511-5PU,8.40E+11,NP511-5-PURPLE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP511-5-PURPLE 5ft Cat5e UTP Molded Patch Cable (Purple),2.05,7,Recurring,01 January 2019,Y,0.12,0.754414125,0.162162162
2573,FAN-R18,,R18,Dynatron,Server,Component,Fan & Heatsink,CPU Fan & Heatsink,Dynatron R18 1U Server CPU Fan For Intel LGA2011,,,,,,,0.754414125,0.162162162
94,W1333SA4GV,,W1333SA4GV(SZ),SUPER TALENT,DDR3 1333,Component,DRAM Memory,Notebook DRAM,Super Talent DDR3-1333 SODIMM 4GB/512X8 Value Notebook Memory,,,,,,,0.754414125,0.162162162
3720,CA-CBL042L,6.72E+11,CBL-0042L,Supermicro,Power Cable,Component,Cable,Power Cable,Supermicro CBL-0042L 24pin Power Extension Cable,,,,,,,0.754414125,0.162162162
2958,VC511-5PU,8.40E+11,NP511-5-PURPLE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP511-5-PURPLE 5ft Cat5e UTP Molded Patch Cable (Purple),,,,,,,0.754414125,0.162162162
4186,FAN-H1250,7.61E+11,KUHLER H2O 1250,Antec,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Antec KHLER H2O 1250 120mm CPU Liquid Cooling System,68.68,7,Recurring,01 January 2019,Y,2.9,0.1,0.162790698
3234,AS-X540B71,1.93E+11,X540UA-DB71,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus X540UA-DB71 15.6 inch Intel Core i7-8550U 1.8GHz/ 8GB DDR4/ 1TB SSHD/ DL DVDÃ‚Â±RW/ USB3.1/ Windows 10 Notebook (Dark Brown),702.12,7,Recurring,01 January 2019,Y,6,0.1,0.162790698
1062,MB-R181340,8.90E+11,R181-340,GIGABYTE,1U,Component,Server,Server Barebone,GIGABYTE R181-340 Dual LGA3647/ Intel C621/ DDR4/ V&3GbE 1U Rackmount Server Barebone System,1973.12,7,Recurring,01 January 2019,Y,46,0.1,0.162790698
3299,MSI-W63019,8.24E+11,WS63019,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI WS63 8SJ-019 15.6 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 512GB PCI-E SSD/ Quadro P2000/ USB3.1/ Windows 10 Pro Ultrabook (Aluminum Black),2028.48,7,Recurring,01 January 2019,Y,10.33,0.1,0.162790698
341,P4610-016T,7.36E+11,SSDPE2KE016T801,Intel,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Intel DC P4610 Series SSDPE2KE016T801 1.6TB U.2 15mm PCI-Express 3.1 x4 Solid State Drive (TLC),583.22,7,Recurring,01 January 2019,Y,0.38,0.1,0.162790698
4186,FAN-H1250,7.61E+11,KUHLER H2O 1250,Antec,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Antec KHLER H2O 1250 120mm CPU Liquid Cooling System,,,,,,,0.1,0.162790698
3234,AS-X540B71,1.93E+11,X540UA-DB71,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus X540UA-DB71 15.6 inch Intel Core i7-8550U 1.8GHz/ 8GB DDR4/ 1TB SSHD/ DL DVDÃ‚Â±RW/ USB3.1/ Windows 10 Notebook (Dark Brown),,,,,,,0.1,0.162790698
1062,MB-R181340,8.90E+11,R181-340,GIGABYTE,1U,Component,Server,Server Barebone,GIGABYTE R181-340 Dual LGA3647/ Intel C621/ DDR4/ V&3GbE 1U Rackmount Server Barebone System,,,,,,,0.1,0.162790698
3299,MSI-W63019,8.24E+11,WS63019,MSI,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,MSI WS63 8SJ-019 15.6 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 512GB PCI-E SSD/ Quadro P2000/ USB3.1/ Windows 10 Pro Ultrabook (Aluminum Black),,,,,,,0.1,0.162790698
341,P4610-016T,7.36E+11,SSDPE2KE016T801,Intel,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Intel DC P4610 Series SSDPE2KE016T801 1.6TB U.2 15mm PCI-Express 3.1 x4 Solid State Drive (TLC),,,,,,,0.1,0.162790698
4099,CA-MTGI2TM,6.72E+11,AOC-MTG-I2TM,Supermicro,Wired Network Adapter,Component,Networking,Wired Networking,Supermicro AOC-MTG-I2TM Dual-port 10 Gigabit Ethernet Adapter (for Twin Systems),174.25,7,Recurring,01 January 2019,Y,1,0.617977528,0.162790698
4099,CA-MTGI2TM,6.72E+11,AOC-MTG-I2TM,Supermicro,Wired Network Adapter,Component,Networking,Wired Networking,Supermicro AOC-MTG-I2TM Dual-port 10 Gigabit Ethernet Adapter (for Twin Systems),,,,,,,0.617977528,0.162790698
520,I7-6700,,CM8066201920103,Intel,Core I7,Component,CPU / Processor,Desktop CPU,"Intel Core i7-6700 Skylake Processor 3.4GHz 8.0GT/s 8MB LGA 1151 CPU, OEM",328,8,Recurring,01 January 2019,Y,0.07,0.672752809,0.162790698
520,I7-6700,,CM8066201920103,Intel,Core I7,Component,CPU / Processor,Desktop CPU,"Intel Core i7-6700 Skylake Processor 3.4GHz 8.0GT/s 8MB LGA 1151 CPU, OEM",,,,,,,0.672752809,0.162790698
3839,FAN-312B6,8.37E+11,312L-CBL,Apevia,120mm,Component,Fan & Heatsink,Case Fan,Apevia 312L-CBL 120mm Blue LED Case Fan w/ Anti-Vibration Rubber Pads (3-pk),16.4,7,Recurring,01 January 2019,Y,1.05,0.709470305,0.162790698
3839,FAN-312B6,8.37E+11,312L-CBL,Apevia,120mm,Component,Fan & Heatsink,Case Fan,Apevia 312L-CBL 120mm Blue LED Case Fan w/ Anti-Vibration Rubber Pads (3-pk),,,,,,,0.709470305,0.162790698
1533,CA-MRK515C,8.45E+11,MRK-515STC,Vantec,Accessory,Hardware & Software,Server & Workstation,Accessory,Vantec NexStar SE MRK-515ST*C 2.5 inch SATA Mobile Rack Tray (Black),7.17,10,Recurring,01 January 2019,Y,0.14,0.621348315,0.163934426
1533,CA-MRK515C,8.45E+11,MRK-515STC,Vantec,Accessory,Hardware & Software,Server & Workstation,Accessory,Vantec NexStar SE MRK-515ST*C 2.5 inch SATA Mobile Rack Tray (Black),,,,,,,0.621348315,0.163934426
2714,CA-CK530M1,8.84E+11,CK-530-GKGM1-US,Cooler Master,Keyboard,Component,Input & Output Device,Keyboard,Cooler Master CK-530-GKGM1-US USB Wired Keyboard w/ Brown Switch (Gunmetal),66.63,10,Recurring,01 January 2019,Y,2.5,0.666292135,0.163934426
2714,CA-CK530M1,8.84E+11,CK-530-GKGM1-US,Cooler Master,Keyboard,Component,Input & Output Device,Keyboard,Cooler Master CK-530-GKGM1-US USB Wired Keyboard w/ Brown Switch (Gunmetal),,,,,,,0.666292135,0.163934426
4003,CA-ACL40N6,8.86E+11,BFX-ALC-40CMLN-RP,BitFenix,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,BitFenix Alchemy 2.0 5x 40cm Sleeved PSU Cable (NV Green),1.95,36,Recurring,01 January 2019,Y,0.09,0.056179775,0.166666667
4003,CA-ACL40N6,8.86E+11,BFX-ALC-40CMLN-RP,BitFenix,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,BitFenix Alchemy 2.0 5x 40cm Sleeved PSU Cable (NV Green),28.19,246,,,,,0.056179775,0.166666667
1622,IM-TN350,8.78E+11,IM-TN350,iMicro,Cartridge & Toner,Hardware & Software,Printer & Scanner,Cartridge & Toner,iMicro IM-TN350 Compatible Toner Cartridge,22.04,35,Recurring,01 January 2019,Y,1.36,0.057784912,0.166666667
1131,SYS-138260,,SPP-8600138260,Supermicro,3U,Component,Server,Server Barebone,Supermicro SuperServer MicroCloud SPP-8600138260 Eight Node LGA1151 1600W 3U Rackmount Server Barebone System (Black),130,1,Recurring,01 January 2019,L,92,0.057784912,0.166666667
1622,IM-TN350,8.78E+11,IM-TN350,iMicro,Cartridge & Toner,Hardware & Software,Printer & Scanner,Cartridge & Toner,iMicro IM-TN350 Compatible Toner Cartridge,3.28,180,,,,,0.057784912,0.166666667
1131,SYS-138260,,SPP-8600138260,Supermicro,3U,Component,Server,Server Barebone,Supermicro SuperServer MicroCloud SPP-8600138260 Eight Node LGA1151 1600W 3U Rackmount Server Barebone System (Black),306.47,441,,,,,0.057784912,0.166666667
3355,SP-2U-SPSU,8.85E+11,SP-8BAY2U-S-PSU,QNAP,Server,Component,Power Supply,Server,"QNAP SP-8BAY2U-S-PSU 300W Single Power Supply Unit for for 2U 8-Bay NAS, w/o Bracket ",266.5,1,Recurring,01 January 2019,L,1,0.058912845,0.166666667
3355,SP-2U-SPSU,8.85E+11,SP-8BAY2U-S-PSU,QNAP,Server,Component,Power Supply,Server,"QNAP SP-8BAY2U-S-PSU 300W Single Power Supply Unit for for 2U 8-Bay NAS, w/o Bracket ",,,,,,,0.058912845,0.166666667
3620,ZT-R2070CP,8.16E+11,ZT-T20700C-10P,Zotac,Nvidia,Component,Video Card,PCI Express Video Card,ZOTAC NVIDIA GeForce RTX 2070 AMP Extreme Core 8GB GDDR6 HDMI/3DisplayPorts/USB Type-C PCI-Express Video Card,644.72,9,Recurring,01 January 2019,Y,3,0.1,0.166666667
3501,SY-128RWMR,6.72E+11,SYS-1028R-WMR,Supermicro,1U,Component,Server,Server Barebone,Supermicro SuperServer SYS-1028R-WMR Dual LGA2011 400W 1U Rackmount Server Barebone System,964.52,9,Recurring,01 January 2019,Y,29,0.1,0.166666667
3120,ST3200FM23,,ST3200FM0023,Seagate,SAS,Component,Solid State Drive,SAS,Seagate 1200.2 Series ST3200FM0023 3200GB 2.5 inch SAS 12.0GB/s Solid State Drive (eMLC),1235.13,9,Recurring,01 January 2019,Y,0.55,0.1,0.166666667
3685,INT-G44HT,7.36E+11,E1G44HT,Intel,Wired Network Adapter,Component,Networking,Wired Networking,Intel E1G44HT Gigabit Ethernet I340 Quad Port PCI-Express Server Adapter,268.55,9,Recurring,01 January 2019,Y,0.75,0.1,0.166666667
732,GB-W9RT4BD,8.14E+11,AORUS 15-W9-RT4BD,GIGABYTE,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Gigabyte AORUS 15-W9-RT4BD 15.6 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 2TB HDD + 512GB SSD/ RTX 2060/ USB3.1/ Windows 10 Home Ultrabook ,1696.37,9,Recurring,01 January 2019,Y,5.29,0.1,0.166666667
3267,MSI-INF274,8.24E+11,INFINITEX274,MSI,Desktop System,PC & Laptop,Desktop System,,MSI Infinite X Plus 9SD-274US Intel Core i7-9700K 3.6GHz/ 16GB DDR4/ 2TB HDD + 512GB SSD/ RTX 2070 ARMOR/ Windows 10 Pro Desktop PC (Black-RGB),1946.48,9,Recurring,01 January 2019,Y,33.07,0.1,0.166666667
3620,ZT-R2070CP,8.16E+11,ZT-T20700C-10P,Zotac,Nvidia,Component,Video Card,PCI Express Video Card,ZOTAC NVIDIA GeForce RTX 2070 AMP Extreme Core 8GB GDDR6 HDMI/3DisplayPorts/USB Type-C PCI-Express Video Card,,,,,,,0.1,0.166666667
3501,SY-128RWMR,6.72E+11,SYS-1028R-WMR,Supermicro,1U,Component,Server,Server Barebone,Supermicro SuperServer SYS-1028R-WMR Dual LGA2011 400W 1U Rackmount Server Barebone System,,,,,,,0.1,0.166666667
3120,ST3200FM23,,ST3200FM0023,Seagate,SAS,Component,Solid State Drive,SAS,Seagate 1200.2 Series ST3200FM0023 3200GB 2.5 inch SAS 12.0GB/s Solid State Drive (eMLC),,,,,,,0.1,0.166666667
3685,INT-G44HT,7.36E+11,E1G44HT,Intel,Wired Network Adapter,Component,Networking,Wired Networking,Intel E1G44HT Gigabit Ethernet I340 Quad Port PCI-Express Server Adapter,,,,,,,0.1,0.166666667
732,GB-W9RT4BD,8.14E+11,AORUS 15-W9-RT4BD,GIGABYTE,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Gigabyte AORUS 15-W9-RT4BD 15.6 inch Intel Core i7-8750H 2.2GHz/ 16GB DDR4/ 2TB HDD + 512GB SSD/ RTX 2060/ USB3.1/ Windows 10 Home Ultrabook ,,,,,,,0.1,0.166666667
3267,MSI-INF274,8.24E+11,INFINITEX274,MSI,Desktop System,PC & Laptop,Desktop System,,MSI Infinite X Plus 9SD-274US Intel Core i7-9700K 3.6GHz/ 16GB DDR4/ 2TB HDD + 512GB SSD/ RTX 2070 ARMOR/ Windows 10 Pro Desktop PC (Black-RGB),,,,,,,0.1,0.166666667
1591,KB-110XPS2,91163235897,31300710100,Genius,Keyboard,Component,Input & Output Device,Keyboard,Genius KB-110X Wired PS/2 Desktop Keyboard,8.2,34,Recurring,01 January 2019,Y,1.5,0.110376735,0.166666667
1591,KB-110XPS2,91163235897,31300710100,Genius,Keyboard,Component,Input & Output Device,Keyboard,Genius KB-110X Wired PS/2 Desktop Keyboard,358.75,99,,,,,0.110376735,0.166666667
